SPAC IPO ,Date of IPO,CUSIP
Aesther Healthcare Acquisition Corp.,9/14/2021,00809L205
WinVest Acquisition Corp.,9/14/2021,97655B208
Endurance Acquisition Corp.,9/14/2021,G3041W123
Pacifico Acquisition Corp.,9/13/2021,69512X202
SilverSPAC Inc.,9/9/2021,G8136V120
Bannix Acquisition Corp.,9/9/2021,066644204
"First Light Acquisition Group, Inc.",9/9/2021,320703200
Future Health ESG Corp.,9/9/2021,36118W201
Banner Acquisition Corp.,9/7/2021,06654K200
Digital World Acquisition Corp.,9/2/2021,25400Q204
Oxus Acquisition Corp.,9/2/2021,G6859L113
Insight Acquisition Corp.,9/1/2021,45784L209
DTRT Health Acquisition Corp.,9/1/2021,23344T202
Concord Acquisition Corp. II,8/31/2021,20607U207
CHW Acquisition Corp.,8/30/2021,G2254A117
Alpine Acquisition Corp.,8/30/2021,02083L208
Springwater Special Situations Corp.,8/25/2021,85205U206
Minority Equality Opportunities Acquisition Inc.,8/25/2021,60436Q209
Cascadia Acquisition Corp.,8/25/2021,14739D209
Waverley Capital Acquisition Corp. 1,8/19/2021,G06536125
Jupiter Acquisition Corp.,8/12/2021,482082203
CENAQ Energy Corp.,8/12/2021,15130M201
Armada Acquisition Corp. I,8/12/2021,04208V202
AxonPrime Infrastructure Acquisition Corp.,8/12/2021,05467C207
Kensington Capital Acquisition Corp. V,8/12/2021,G5251K111
PHP Ventures Acquisition Corp.,8/11/2021,69291C205
AfterNext HealthTech Acquisition Corp.,8/11/2021,G01109118
Oxbridge Acquisition Corp.,8/11/2021,G6855L125
TPB Acquisition Corp. I,8/10/2021,G8990L119
10X Capital Venture Acquisition Corp. II,8/10/2021,G87076124
Chardan NexTech Acquisition 2 Corp.,8/10/2021,159561208
Decarbonization Plus Acquisition Corp. IV,8/10/2021,G2773W129
World Quantum Growth Acquisition Corp.,8/10/2021,G5596W119
PONO Capital Corp.,8/10/2021,732450200
Avista Public Acquisition Corp. II,8/9/2021,G07247110
