,Unnamed: 0,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,cusip_trunc
2054,11511,20091027,Vitamin Shoppe Inc,VSI,92849E101,0,0,0,0,.,93071,1977,,,,9284
2058,11520,20091120,Archipelago Learning,ARCL,03956P102,0,0,0,1,.,93125,2000,,,,0395
2059,11521,20091120,Cloud Peak Energy,CLD,18911Q102,0,0,0,0,.,93095,1993,,,,1891
2060,11522,20091120,Global Defense Tech & Systems,GTEC,37950B107,0,0,0,0,.,93135,1969,,,,3795
2083,11743,20110127,BankUnited Inc,BKU,06652K103,0,0,0,0,.,12515,2009,,,,0665
2086,11747,20110201,Epocrates Inc,EPOC,29429D103,0,1,0,0,.,12576,1998,,,,2942
2088,11749,20110202,Pacira Pharmaceuticals Inc,PCRX,695127100,0,1,0,0,.,12583,2006,,,,6951
2095,11765,20110223,Apollo Senior Floating Rate,AFT,037636107,0,0,0,0,.,12543,-99,,,,0376
2108,11788,20110413,TMS International Corp,TMS,87261Q103,0,0,1,0,37575973,12682,2006,,,,8726
2113,11796,20110419,Sagent Pharmaceuticals Inc,SGNT,786692103,0,1,0,0,.,12695,2006,,,,7866
2115,11799,20110421,21Vianet Group Inc,VNET,90138A103,0,1,1,0,322515330,12699,1999,,,,9013
2121,11813,20110510,RLJ Lodging Trust,RLJ,74965L101,0,0,0,0,.,12756,2011,,,,7496
2127,11822,20110525,Freescale Semiconductor Hldg I,FSL,G3727Q101,0,0,0,0,.,12787,1949,,,,G372
2130,11827,20110525,Spirit Airlines Inc,SAVE,848577102,0,2,0,0,.,12796,1964,,,,8485
2131,11828,20110525,The Active Network Inc,ACTV,00506D100,0,2,0,0,.,12719,1998,,,,0050
2132,11831,20110608,Fusion-io Inc,FIO,36112J107,0,1,0,0,.,12865,2005,,,,3611
2137,11842,20110628,HomeAway Inc,AWAY,43739Q100,0,1,0,1,.,12882,2005,,,,4373
2143,11855,20110721,Apollo Residential Mortgage,AMTG,03763V102,0,0,0,0,.,12893,-99,,,,0376
2168,11902,20111213,Sanchez Energy Corp,SN,79970Y105,0,0,0,0,.,13139,1972,,,,7997
2177,11916,20120201,Greenway Medical Tech Inc,GWAY,39679B103,0,1,0,0,.,13227,1998,,,,3967
2179,11918,20120203,Cempra Inc,CEMP,15130J109,0,1,0,0,.,13263,2005,,,,1513
2185,11927,20120217,Brightcove Inc,BCOV,10921T101,0,1,0,0,.,13260,2004,,,,1092
2193,11939,20120314,Demandware Inc,DWRE,24802Y105,0,1,0,1,.,13292,2004,,,,2480
2194,11940,20120314,M/A-COM Technology Hldg,MTSI,55405Y100,0,2,0,0,.,13326,1952,,,,5540
2195,11944,20120321,ExactTarget Inc,ET,30064K105,0,1,0,0,.,13294,2000,,,,3006
2196,11946,20120322,Vipshop Holdings Ltd,VIPS,92763W103,0,1,1,1,50569283,13315,2008,,,,9276
2199,11951,20120327,Vocera Communications Inc,VCRA,92857F107,0,1,0,0,.,13316,2000,,,,9285
2204,11959,20120405,Retail Ppty of Americas Inc,RPAI,76131V202,0,0,1,0,230800176,13358,2003,,,,7613
2208,11964,20120417,Digital Cinema Destinations,DCIN,25383B109,0,0,1,0,4480507,13372,2010,,,,2538
2209,11966,20120418,Splunk Inc,SPLK,848637104,0,1,0,0,.,13379,2003,,,,8486
2212,11970,20120419,Proofpoint Inc,PFPT,743424103,0,1,0,1,.,13377,2002,,,,7434
2217,11977,20120430,Supernus Pharmaceuticals Inc,SUPN,868459108,0,0,0,0,.,13410,2005,,,,8684
2218,11978,20120502,EverBank Financial Corp,EVER,29977G102,0,0,0,0,.,13384,2004,,,,2997
2225,11987,20120510,Ignite Restaurant Group Inc,IRG,451730105,0,0,0,0,.,13408,1991,,,,4517
2228,11992,20120626,EQT Midstream Partners LP,EQM,26885B100,0,0,1,0,19214718,13432,2012,,,,2688
2230,11995,20120628,Exa Corp,EXA,300614500,0,1,0,0,.,13454,1991,,,,3006
2244,12017,20120802,Globus Medical Inc,GMED,379577208,0,1,1,0,90388441,13543,2003,,,,3795
2256,12035,20121002,LifeLock Inc,LOCK,53224V100,0,1,0,1,.,13616,2005,,,,5322
2260,12042,20121009,Ambarella Inc,AMBA,G037AX101,0,1,0,0,.,13634,2004,,,,G037
2266,12049,20121011,Diamondback Energy Inc,FANG,25278X109,0,0,0,0,.,13641,2007,,,,2527
2275,12066,20121107,OFS Capital Corp,OFS,67103B100,0,0,0,0,.,13698,2001,,,,6710
2292,12091,20130128,Gladstone Land Corp,LAND,376549101,0,0,0,0,.,13756,1997,,,,3765
2294,12094,20130130,TRI Pointe Homes Inc,TPH,87265H109,0,0,0,0,.,13748,2009,,,,8726
2297,12098,20130206,ExOne Co,XONE,302104104,0,0,0,0,.,13799,2005,,,,3021
2300,12102,20130207,ZAIS Financial Corp,ZFC,98886K108,0,0,0,0,.,13787,2011,,,,9888
2303,12109,20130306,Artisan Partners Asset Mgmt In,APAM,04316A108,0,0,1,0,70586743,13802,1994,,,,0431
2304,12110,20130312,Silver Spring Networks Inc,SSNI,82817Q103,0,1,0,0,.,13819,2002,,,,8281
2319,12135,20130416,Fairway Group Holdings Corp,FWM,30603D109,0,0,1,0,41282328,13874,1933,,,,3060
2329,12148,20130507,Armada Hoffler Properties Inc,AHH,04208T108,0,0,0,0,.,13887,1979,,,,0420
2332,12151,20130508,Emerge Energy Services LP,EMES,29102H108,0,0,1,0,23219680,13895,2012,,,,2910
2333,12154,20130508,Receptos Inc,RCPT,756207106,0,1,0,0,.,13942,2008,,,,7562
2345,12171,20130523,Global Brass & Copper Holdings,BRSS,37953G103,0,0,0,0,.,13903,1901,,,,3795
2346,12173,20130530,Epizyme Inc,EPZM,29428V104,0,1,0,0,.,13924,2007,,,,2942
2347,12174,20130605,LightInTheBox Hldg Co Ltd,LITB,53225G102,0,1,1,1,45653865,13999,2007,,,,5322
2350,12177,20130611,Gigamon Inc,GIMO,37518B102,0,1,0,0,.,13992,2004,,,,3751
2352,12179,20130618,bluebird bio Inc,BLUE,09609G100,0,1,0,0,.,13947,1992,,,,0960
2364,12195,20130626,Silvercrest Asset Management,SAMG,828359109,0,0,1,0,11968603,13969,2002,,,,8283
2366,12201,20130717,OncoMed Pharmaceuticals Inc,OMED,68234X102,0,1,0,0,.,14055,2004,,,,6823
2368,12203,20130718,Diamond Resorts International,DRII,25272T104,0,0,0,0,.,14017,1996,,,,2527
2374,12212,20130724,Conatus Pharmaceuticals Inc,CNAT,20600T108,0,1,0,0,.,14046,2005,,,,2060
2376,12215,20130725,KKR Income Opportunities Fund,KIO,48249T106,0,0,0,0,.,14027,-99,,,,4824
2380,12221,20130731,Sprouts Farmers Market LLC,SFM,85208M102,0,0,0,0,.,14102,2002,,,,8520
2381,12222,20130801,Athlon Energy Inc,ATHL,047477104,0,0,0,0,.,14062,2010,,,,0474
2395,12243,20130918,Acceleron Pharma Inc,XLRN,00434H108,0,1,0,0,.,14176,2003,,,,0043
2406,12263,20131001,Fate Therapeutics,FATE,31189P102,0,1,0,0,.,14245,2007,,,,3118
2420,12279,20131016,Veeva Systems,VEEV,922475108,0,1,1,1,122252440,14231,2007,,,,9224
2421,12280,20131017,ADMA Biologics,ADMA,000899104,0,1,0,0,.,15056,2004,,,,0008
2422,12282,20131025,Aerie Pharmaceuticals,AERI,00771V108,0,1,0,0,.,14238,2005,,,,0077
2428,12290,20131030,Criteo SA,CRTO,226718104,0,1,0,0,.,14240,2005,,,,2267
2432,12294,20131031,Essent Group Ltd,ESNT,G3198U102,0,2,0,0,.,14235,2008,,,,G319
2467,12344,20140117,EP Energy Corp,EPE,268785102,0,0,1,0,244753000,14392,1980,,,,2687
2474,12352,20140131,Cara Therapeutics,CARA,140755109,0,1,0,0,.,14422,2004,,,,1407
2482,12367,20140206,Revance Therapeutics,RVNC,761330109,0,1,0,0,.,14467,1999,,,,7613
2487,12377,20140214,Inogen,INGN,45780L104,0,1,0,0,.,14459,2001,,,,4578
2492,12384,20140306,Recro Pharma Inc,REPH,75629F109,0,1,0,0,.,14550,2007,,,,7562
2493,12385,20140312,Achaogen Inc,AKAO,004449104,0,1,0,0,.,14530,2002,,,,0044
2504,12400,20140326,King Digital Entertainment plc,KING,G5258J109,0,1,0,1,.,14524,2003,,,,G525
2508,12406,20140327,TriNet Group,TNET,896288107,0,2,0,0,.,14521,1988,,,,8962
2510,12408,20140328,Aerohive Networks,HIVE,007786106,0,1,0,1,.,14498,2006,,,,0077
2517,12420,20140404,Opower Inc,OPWR,68375Y109,0,1,0,0,.,14578,2007,,,,6837
2518,12422,20140409,iKang Healthcare Group Inc,KANG,45174L108,0,1,1,0,32166983,14600,2011,,,,4517
2521,12426,20140411,Enable Midstream Partners LP,ENBL,292480100,0,0,1,0,415710860,14564,-99,,,,2924
2530,12437,20140417,Sportsman's Warehouse Hldg Inc,SPWH,84920Y106,0,0,0,0,.,14609,1986,,,,8492
2531,12438,20140417,Vital Therapies Inc,VTL,92847R104,0,1,0,0,.,14615,2003,,,,9284
2542,12453,20140515,Bankwell Financial Group,BWFG,06654A103,0,0,0,0,.,14650,2002,,,,0665
2548,12462,20140523,Parsley Energy Inc,PE,701877102,0,0,1,0,111713550,14634,2008,,,,7018
2550,12464,20140606,Arista Networks Inc,ANET,040413106,0,1,0,0,.,14714,2004,,,,0404
2552,12469,20140612,Zhaopin Ltd,ZPIN,98954L103,0,0,1,0,94272260,14753,1994,,,,9895
2556,12474,20140618,Foresight Energy LP,FELP,34552U104,0,0,1,0,129477790,14721,2004,,,,3455
2559,12481,20140619,Zafgen Inc,ZFGN,98885E103,0,1,0,0,.,14711,2005,,,,9888
2569,12498,20140702,GlobeImmune Inc,GBIM,37957B100,0,1,0,0,.,14801,1995,,,,3795
2574,12507,20140718,SAGE Therapeutics Inc,SAGE,78667J108,0,1,0,0,.,14828,2010,,,,7866
2577,12512,20140723,Immune Design Corp,IMDZ,45252L103,0,1,0,0,.,14805,2008,,,,4525
2587,12528,20140731,HealthEquity Inc,HQY,42226A107,0,1,0,0,.,14803,2002,,,,4222
2591,12533,20140801,FCB Financial Holdings Inc,FCB,30255G103,0,0,1,0,40446199,14851,2009,,,,3025
2596,12540,20140807,iDreamSky Technology Ltd,DSKY,45173K101,0,1,1,0,42323188,14864,2012,,,,4517
2607,12559,20140924,Vitae Pharmaceuticals Inc,VTAE,92847N103,0,1,0,0,.,14938,2001,,,,9284
2609,12567,20141001,Vivint Solar Inc,VSLR,92854Q106,0,0,0,0,.,14982,2011,,,,9285
2612,12572,20141002,VWR Corp,VWR,91843L103,0,0,0,0,.,15023,2007,,,,9184
2644,12617,20141114,Virgin America Inc,VA,92765X208,0,2,0,0,.,15088,2004,,,,9276
2655,12635,20141212,James River Group Holdings Ltd,JRVR,G5005R107,0,0,0,0,.,15133,2002,,,,G500
2657,12637,20141212,New Relic Inc,NEWR,64829B100,0,1,0,0,.,15108,2007,,,,6482
2659,12639,20141217,On Deck Capital Inc,ONDK,682163100,0,1,0,1,.,15110,2006,,,,6821
2661,12642,20141219,Juno Therapeutics Inc,JUNO,48205A109,0,1,0,0,.,15134,2013,,,,4820
2664,12647,20150123,Box Inc,BOX,10316T104,0,1,1,1,116444702,15145,2005,,,,1031
2674,12663,20150212,Inovalon Holdings Inc,INOV,45781D101,0,0,1,0,144479367,15220,1998,,,,4578
2676,12668,20150218,Inotek Pharmaceuticals Corp,ITEK,45780V102,0,1,0,0,.,15221,1996,,,,4578
2682,12680,20150401,GoDaddy Inc,GDDY,380237107,0,0,1,1,152251200,15315,1997,,,,3802
2690,12692,20150424,Apigee Corp,APIC,03765N108,0,1,0,0,.,15283,2004,,,,0376
2694,12700,20150506,Adaptimmune Therapeutics plc,ADAP,00653A107,0,1,1,0,424711900,15361,2008,,,,0065
2699,12707,20150512,EQT GP Holdings LP,EQGP,26885J103,0,0,1,0,266165000,15349,2015,,,,2688
2708,12724,20150605,Evolent Health Inc,EVH,30050B101,0,1,1,0,67251344,15452,2011,,,,3005
2713,12732,20150619,8point3 Energy Partners LP,CAFD,282539105,0,0,1,0,91000000,15415,2015,,,,2825
2714,12734,20150619,Fogo De Chao Inc,FOGO,344177100,0,0,0,0,.,15426,1979,,,,3441
2729,12756,20150716,Jupai Holdings Ltd,JP,48205B107,0,0,1,0,176016759,15577,2012,,,,4820
2734,12764,20150723,Live Oak Bancshares Inc,LOB,53803X105,0,0,0,0,.,15527,2008,,,,5380
2739,12774,20150805,Amplify Snack Brands Inc,BETR,03211L102,0,0,0,0,.,15599,2010,,,,0321
2744,12780,20150812,Global Blood Therapeutics Inc,GBT,37890U108,0,1,0,0,.,15638,2011,,,,3789
2752,12796,20151007,Aclaris Therapeutics Inc,ACRS,00461U105,0,1,0,0,.,15775,2012,,,,0046
2753,12797,20151007,Pure Storage Inc,PSTG,74624M102,0,1,1,0,185056764,15729,2009,,,,7462
2759,12811,20151104,Fuling Global Inc,FORK,G3729B102,.,0,0,0,.,15841,1995,,,,G372
2761,12813,20151111,Equity Bancshares Inc,EQBK,29460X109,0,0,1,0,7285805,15838,2003,,,,2946
2763,12817,20151113,Instructure Inc,INST,45781U103,0,1,0,1,.,15824,2008,,,,4578
2764,12819,20151119,Axsome Therapeutics Inc,AXSM,05464T104,0,0,0,0,.,15831,2012,,,,0546
2780,12844,20160506,Intellia Therapeutics Inc,NTLA,45826J105,0,1,0,0,.,16064,2014,,,,4582
2791,12859,20160526,GMS Inc,GMS,36251C103,0,0,0,0,.,16076,1971,,,,3625
2796,12870,20160623,Twilio Inc,TWLO,90138F102,0,1,1,0,82200793,16140,2008,,,,9013
2800,12878,20160722,TPI Composites Inc,TPIC,87266J104,0,2,0,0,.,16188,1968,,,,8726
2801,12879,20160727,Kadmon Holdings LLC,KDMN,48283N106,0,1,0,0,.,16154,2010,,,,4828
2802,12880,20160728,Kinsale Capital Group Inc,KNSL,49714P108,0,2,0,0,.,16171,2009,,,,4971
2808,12887,20160811,Medpace Inc,MEDP,58506Q109,0,0,0,0,.,16260,1992,,,,5850
2812,12893,20160916,Everbridge Inc,EVBG,29978A104,0,1,0,0,.,16287,2002,,,,2997
2813,12894,20160916,FB Financial Corp,FBK,30257X104,0,0,0,0,.,16319,1984,,,,3025
2814,12897,20160921,Trade Desk Inc,TTD,88339J105,0,1,1,1,38228554,16309,2009,,,,8833
2815,12898,20160922,Capstar Financial Holdings Inc,CSTR,14070T102,0,0,0,0,.,16285,2007,,,,1407
2826,12909,20161006,AquaVenture Holdings LLC,WAAS,G0443N107,0,2,0,0,.,16450,2006,,,,G044
2830,12914,20161011,Avista Healthcare Public Acq,AHPAU,G0726L125,0,0,1,0,38625000,16522,2015,,,,G072
2834,12920,20161020,Forterra Inc,FRTA,34960W106,1,0,0,0,.,16384,1991,,,,3496
2838,12925,20161028,Acushnet Holdings Corp,GOLF,005098108,0,0,0,0,.,16434,1910,,,,0050
2840,12928,20161028,Quantenna Communications Inc,QTNA,74766D100,0,1,0,1,.,16397,2005,,,,7476
2843,12932,20161201,Innovative Industrial Ppty Inc,IIPR,45781V101,0,0,1,0,3350000,16515,2016,,,,4578
2845,12935,20161209,Athene Holding Ltd,ATH,G0684D107,0,2,1,0,200690750,16496,2009,,,,G068
2861,12958,20170301,Hamilton Lane Inc,HLNE,407497106,0,0,1,0,45005761,16632,1991,,,,4074
2864,12962,20170310,Matlin & Partners Acq Corp,MPACU,57682V106,0,0,1,0,30000000,16674,2016,,,,5768
2869,12967,20170317,ProPetro Holding Corp,PUMP,74347M108,0,2,0,0,.,16617,2005,,,,7434
2870,12968,20170324,Alteryx Inc,AYX,02156B103,0,1,1,0,56320544,16597,1997,,,,0215
2871,12970,20170329,Kayne Anderson Acq Corp,KAACU,48661U102,0,0,1,0,43750000,16673,2016,,,,4866
2878,12982,20170413,Warrior Met Coal,HCC,93627C101,0,0,0,0,.,16653,1977,,,,9362
2883,12988,20170428,Cloudera Inc,CLDR,18914U100,0,1,0,1,.,16657,2008,,,,1891
2886,12996,20170505,KKR Real Estate Fin Trust,KREF,48251K100,0,0,0,0,.,16691,2014,,,,4825
2897,13011,20170602,KBL Merger IV Corp,KBLMU,48242A104,0,1,1,0,10450000,16788,2016,,,,4824
2898,13012,20170607,ShotSpotter Inc,SSTI,82536T107,0,1,0,1,.,16805,2004,,,,8253
2901,13016,20170619,Constellation Alpha Capital,CNACU,G2379F108,0,0,1,0,16130000,16880,-99,,,,G237
2909,13034,20170712,Co-Diagnostics Inc,CODX,189763105,0,1,0,0,.,16820,2013,,,,1897
2911,13039,20170720,TPG RE Finance Trust Inc,TRTX,87266M107,0,0,0,0,.,16813,2014,,,,8726
2923,13057,20170914,Social Capital Hedosophia,IPOAU,G8250R103,0,1,1,0,75000000,16964,2017,,,,G825
2928,13064,20170920,Zai Lab Ltd,ZLAB,98887Q104,0,1,1,0,49305903,16938,2013,,,,9888
2930,13072,20170928,Nightstar Therapeutics Ltd,NITE,65413A101,0,1,1,0,28904714,16930,2013,,,,6541
2933,13078,20171006,Switch Inc,SWCH,87105L104,0,0,1,0,216568963,16966,2000,,,,8710
2937,13082,20171012,Restoration Robotics Inc,HAIR,76133C103,0,1,0,0,.,16987,2002,,,,7613
2946,13095,20171027,Forescout Technologies Inc,FSCT,34553D101,0,1,0,1,.,16984,2000,,,,3455
2952,13101,20171102,Evoqua Water Technologies Corp,AQUA,30057T105,0,0,0,0,.,17035,2013,,,,3005
2955,13104,20171103,Acm Research Inc,ACMR,00108J109,0,1,1,0,12702546,17045,1998,,,,0010
2957,13108,20171107,Meridian Bank,MRBK,58958P104,0,0,0,0,.,17117,2004,,,,5895
2961,13113,20171109,Apellis Pharmaceuticals Inc,APLS,03753U106,0,1,0,0,.,17104,2009,,,,0375
2962,13114,20171109,Sogou Inc,SOGO,83409V104,0,0,1,1,391520000,17098,2005,,,,8340
2965,13118,20171116,Arsanis Inc,ASNS,042873109,0,1,0,0,.,17105,2010,,,,0428
2972,13133,20171207,Quanterix Corp,QTRX,74766Q101,0,1,0,0,.,17155,2007,,,,7476
2975,13137,20171215,Casa Systems Inc,CASA,14713L102,0,1,0,0,.,17135,2003,,,,1471
2980,13145,20180112,Liberty Oilfield Services Inc,LBRT,53115L104,0,2,1,0,118195409,17221,2011,,,,5311
2986,13159,20180126,resTORbio Inc,TORC,76133L103,0,1,0,0,.,17272,2016,,,,7613
2991,13169,20180208,Evolus Inc,EOLS,30052C107,0,0,0,0,.,17317,2012,,,,3005
3000,13191,20180328,Bilibili Inc,BILI,090040106,0,1,1,0,278482784,17346,2009,,,,0900
3005,13204,20180420,Pivotal Software,PVTL,72582H107,0,1,1,0,250336392,17673,2013,,,,7258
3014,13218,20180504,Spirit of Texas Bancshares Inc,STXB,84861D103,0,0,0,0,.,17802,2008,,,,8486
3015,13220,20180509,Origin Bancorp Inc,OBNK,68621T102,.,0,0,0,.,17818,1912,,,,6862
3021,13239,20180615,Avalara Inc,AVLR,05338G106,0,1,0,1,.,17855,1999,,,,0533
3035,13264,20180628,Forty Seven Inc,FTSV,34983P104,0,1,0,0,.,17883,2014,,,,3498
3038,13268,20180628,Tricida Inc,TCDA,89610F101,0,1,0,0,.,17900,2013,,,,8961
3047,13282,20180725,Bloom Energy Corp,BE,093712107,0,1,1,0,106066537,17949,2001,,,,0937
3049,13287,20180726,Focus Financial Partners Inc,FOCS,34417P100,1,2,1,0,62596884,17950,2004,,,,3441
3052,13290,20180726,Tenable Holdings Inc,TENB,88025T102,0,1,0,0,.,17944,2002,,,,8802
3053,13293,20180727,Opera Ltd,OPRA,68373M107,0,0,1,0,219449999,17971,1995,,,,6837
3055,13298,20180803,Arlo Technologies Inc,ARLO,04206A101,0,0,0,1,.,18013,2014,,,,0420
3061,13317,20180920,Bank7 Corp,BSVN,06652N107,0,0,0,0,.,18106,2001,,,,0665
3063,13319,20180920,Eventbrite Inc,EB,29975E109,0,1,1,1,76109314,18063,2006,,,,2997
3066,13322,20180925,Viomi Technology Co Ltd,VIOT,92762J103,0,0,1,1,207800000,18131,2014,,,,9276
3070,13327,20180926,Sutro Biopharma Inc,STRO,869367102,0,1,0,0,.,18128,2003,,,,8693
3083,13352,20181019,Logicbio Therapeutics Inc,LOGC,54142F102,0,1,0,0,.,18205,2014,,,,5414
3088,13361,20181031,Axonics Modulation Tech Inc,AXNX,05465P101,0,1,0,0,.,18190,2012,,,,0546
3089,13364,20181107,CNFinance Holdings Ltd,CNF,18979T105,0,0,1,0,1360434040,18223,2006,,,,1897
3096,13382,20181214,Legacy Housing Corp,LEGH,52472M101,0,0,0,0,.,18311,2005,,,,5247
