,Unnamed: 0,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,cusip_trunc
722,9039,19990629,Digital Island Inc,ISLD,25385N101,0,1,0,1,.,86978,1994,,,,2538
726,9049,19990701,Clarent Corp,CLRN,180461105,0,1,0,1,.,87102,1996,,,,1804
734,9071,19990720,Art Technology Group Inc,ARTG,04289L107,0,1,0,1,.,87099,1991,,,,0428
750,9111,19990730,Accrue Software Inc,ACRU,00437W102,0,1,0,1,.,87050,1996,,,,0043
758,9124,19990804,Pivotal Corp,PVTL,72581R106,0,0,0,0,.,87181,1990,,,,7258
774,9153,19990820,Lionbridge Technologies,LIOX,536252109,0,1,0,1,.,87172,1996,,,,5362
782,9165,19990921,E.piphany Inc,EPNY,26881V100,0,1,0,1,.,87228,1997,,,,2688
784,9169,19990922,Broadbase Software Inc,BBSW,11130R100,0,1,0,0,.,87222,1995,,,,1113
794,9191,19990928,Spinnaker Exploration Co,SPNX,84855W109,0,0,0,0,.,87254,1996,,,,8485
795,9192,19990929,Acme Communications Inc,ACME,004631107,1,2,0,0,.,87219,1993,,,,0046
799,9200,19990930,Digital Insight Corp,DGIN,25385P106,0,1,0,1,.,87314,1995,,,,2538
801,9206,19991001,Vixel Corp,VIXL,928552108,0,1,0,0,.,87353,1991,,,,9285
813,9225,19991008,Vitaminshoppe.com Inc,VSHP,92848M104,0,1,1,1,20359074,87355,1997,,,,9284
815,9228,19991014,Igo Corp,IGOC,449592104,0,1,0,1,.,87325,1993,,,,4495
832,9273,19991103,Pac-West Telecomm Inc,PACW,69371Y101,0,1,0,0,.,87407,1982,,,,6937
834,9282,19991109,Data Critical Corp,DCCA,237622105,0,1,0,0,.,87383,1992,,,,2376
838,9292,19991111,Sage Inc,SAGI,786632109,0,1,0,0,.,87416,1994,,,,7866
839,9296,19991112,Immersion Corp,IMMR,452521107,0,0,0,0,.,87394,1993,,,,4525
841,9301,19991116,Virata Corp,VRTA,927646109,0,1,0,1,.,87427,1993,,,,9276
850,9321,19991122,Digital Impact Inc,DIGI,25385G106,0,1,0,1,.,87385,1997,,,,2538
852,9327,19991123,OpenTV Corp(MIH Ltd),OPTV,G67543101,0,0,0,0,.,87406,1996,,,,G675
853,9328,19991123,PNV Inc,PNVN,69348A103,0,1,0,0,.,87409,1995,,,,6934
855,9332,19991202,Digimarc Corp,DMRC,253807101,0,1,0,1,.,87482,1995,,,,2538
857,9337,19991207,Classic Communications Inc,CLSC,182728204,1,2,1,0,16989603,87480,1992,,,,1827
875,9377,20000126,T/R Systems Inc,TRSI,87263U102,0,1,0,0,.,87576,1991,,,,8726
878,9381,20000127,Packaging Corp of America,PKG,695156109,0,0,0,0,.,87541,1965,,,,6951
886,9404,20000208,Fastnet Corp,FSST,311877104,0,1,0,1,.,87830,1994,,,,3118
