offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,SPAC IPO ,Date of IPO,IS_SPAC
20180530,Trident Acquisition Corp,TDACU,89615T205,0,0,1,0,23025000,17901,2016,,,,Trident Acquisitions Corp.,6/1/2018,True
20180703,Allegro Merger Corp,ALGRU,01749N301,0,0,1,0,18572500,18042,2017,,,,Allegro Merger Corp.,7/6/2018,True
20180803,Forum Merger II Corp,FMCIU,34986F202,0,0,1,0,25655000,18114,2018,,,,Forum Merger II Corp.,8/7/2018,True
20180823,Megalith Financial Acquisition,MFACU,58518F208,0,0,1,0,18750000,18086,2017,,,,Megalith Financial Acquisition Corp.,8/28/2018,True
20180907,Churchill Capital Corp,CCC.U,17142R202,0,0,1,0,75000000,18152,2018,,,,Churchill Capital Corp.,9/11/2018,True
20180907,Gores Holdings III Inc,GRSHU,38286G208,0,0,1,0,46875000,18202,2017,,,,"Gores Holdings III, Inc.",9/11/2018,True
20181005,ChaSerg Technology Acquisition,CTACU,16166A202,0,0,1,0,25600000,18192,2018,,,,ChaSerg Technology Acquisition Corp.,10/10/2018,True
20181016,Graf Industrial Corp,GRAF,384278206,0,0,1,0,28125000,18162,2018,,,,Graf Industrial Corp.,10/18/2018,True
20181116,AMCI Acquisition Corp,AMCI,00165R200,0,0,1,0,25000000,18302,2018,,,,AMCI Acquisition Corp.,11/20/2018,True
20181116,Boxwood Merger Corp,BWMCU,10319T200,0,0,1,0,25250000,18357,2017,,,,Boxwood Merger Corp.,11/20/2018,True
20181116,Fintech Acquisition Corp III,FTACU,31811A309,0,0,1,0,38662500,18361,2017,,,,FinTech Acquisition Corp. III,11/20/2018,True
20181211,Schultze Special Purpose Acq,SAMAU,80821R208,0,0,1,0,16250000,18370,2018,,,,Schultze Special Purpose Acquisition Corp.,12/13/2018,True
20181213,CF Finance Acquisition Corp,CFFAU,12528N206,0,0,1,0,31850000,18360,2014,,,,CF Finance Acquisition Corp.,12/17/2018,True
20190201,Gores Metropoulos Inc,GMHIU,382872208,0,0,1,0,46875000,18453,-99,,,,"Gores Metropoulos, Inc.",2/5/2019,True
20190207,Monocle Acq Corp,MNCLU,609754205,0,0,1,0,19400000,18410,-99,,,,Monocle Acquisition Corp.,2/11/2019,True
20190208,Pivotal Acq Corp,PVT.U,72583A200,0,0,1,0,25000000,18448,-99,,,,Pivotal Acquisition Corp.,2/4/2019,True
20190211,RMG Acquisition Corp,RGM.U,749641205,.,0,1,0,25000000,18533,-99,,,,RMG Acquisition Corp.,2/12/2019,True
20190222,Acamar Partners Acq Corp,ACAMU,004285201,0,0,1,0,37500000,18546,-99,,,,Acamar Partners Acquisition Corp.,2/26/2019,True
20190305,Tuscan Holdings Corp,THCBU,90069K203,0,0,1,0,30915000,18457,2018,,,,Tuscan Holdings Corp.,3/7/2019,True
20190308,Crescent Acquisition Corp,CRSAU,22564L204,0,0,1,0,32187500,18549,2019,,,,Crescent Acquisition Corp.,3/12/2019,True
20190315,Trine Acquisition Corp,TRNEU,89628U207,0,0,1,0,32625000,18719,-99,,,,Trine Acquisition Corp.,3/19/2019,True
20190319,Insurance Acquisition Corp,INSUU,457867307,0,0,1,0,18033333,18659,-99,,,,Insurance Acquisition Corp.,3/22/2019,True
20190409,B. Riley Principal Merger Corp,BRPM.,05586Y205,0,0,1,0,16050000,18514,2017,,,,B. Riley Principal Merger Corp.,4/11/2019,True
20190507,Landcadia Holdings II,LCAHU,51476X204,0,0,1,0,34375000,18778,2019,,,,"Landcadia Holdings II, Inc.",5/9/2019,True
20190510,Diamond Eagle Acq Corp,DEACU,25258L208,0,0,1,0,43750000,18835,2019,,,,Diamond Eagle Acquisition Corp.,5/14/2019,True
20190521,GX Acq Corp,GXGXU,36251A206,0,0,1,0,31250000,18840,2008,,,,GX Acquisition Corp.,5/23/2019,True
20190530,Proficient Alpha Acq Corp.,PAACU,74317H204,0,0,1,0,12580000,19670,2018,,,,Proficient Alpha Acquisition Corp.,6/3/2019,True
20190606,GigCapital2,GIX.U,375036209,0,0,1,0,19492500,18802,2019,,,,"GigCapital2, Inc.",6/10/2019,True
20190607,Haymaker Acquisition Corp II,HYACU,42087L200,0,0,1,0,43750000,18844,2019,,,,Haymaker Acquisition Corp. II,6/12/2019,True
20190620,South Mountain Merger Corp,SMMCU,838884203,0,0,1,0,28125000,18852,2019,,,,South Mountain Merger Corp.,6/24/2019,True
20190627,Churchill Capital Corp II,CCXU,17143G205,0,0,1,0,75000000,18794,2019,,,,Churchill Capital Corp. II,7/1/2019,True
20190712,Pivotal Investment Corp II,PICU,72582K209,0,0,1,0,25000000,18936,2019,,,,Pivotal Investment Corp. II,7/16/2019,True
20190712,Tuscan Holdings Corp II,THCAU,90070A202,0,0,1,0,19152500,18853,2019,,,,Tuscan Holdings Corp. II,7/16/2019,True
20190718,Conyers Pk II Acq Corp,CPAA.,212894208,0,0,1,0,50000000,18953,2019,,,,Conyers Park Acquisition Corp.,7/14/2016,True
20190725,Switchback Energy Acq Corp,SBE.U,87105M201,0,0,1,0,37500000,18937,2019,,,,Switchback Energy Acquisition Corp.,7/30/2019,True
20190802,Orisun Acquisition Corp,ORSNU,68632T208,0,0,1,0,5220000,19077,2018,,,,Orisun Acquisition Corp.,8/6/2019,True
20190911,New Providence Acquisition,NPAUU,64822P205,0,0,1,0,25000000,19076,2019,,,,New Providence Acquisition Corp.,9/13/2019,True
20190913,Experience Investment Corp,EXPCU,30217C208,0,0,1,0,31250000,19071,2019,,,,Experience Investment Corp.,9/17/2019,True
20190917,Apex Technology Acquisition,APXTU,03768F201,0,0,1,0,38935000,19064,2019,,,,Apex Technology Acquisition Corp.,9/19/2019,True
20191101,Finserv Acq Corp,FSRVU,318085206,0,1,1,0,28165000,19135,2019,,,,FinServ Acquisition Corp.,11/5/2019,True
20191101,Osprey Tech Acq Corp,SFTW.,68839R401,0,1,1,0,34375000,19114,2018,,,,Osprey Technology Acquisition Corp.,11/5/2019,True
20191105,Merida Merger Corp I,MCMJU,58953M205,0,0,1,0,15120000,19140,2019,,,,Merida Merger Corp. I,11/7/2019,True
20191106,LGL Systems Acquisition Corp,DFNSU,50201G205,0,0,1,0,18750000,19295,2019,,,,LGL Systems Acquisition Corp.,11/12/2019,True
20191108,Juniper Industrial Hldg Inc,JIH U,48205G205,0,0,1,0,37500000,19106,2019,,,,"Juniper Industrial Holdings, Inc.",11/13/2019,True
20191108,Stable Road Acquisition Corp,SRACU,85236Q208,0,0,1,0,19250000,19146,2019,,,,Stable Road Acquisition Corp.,11/13/2019,True
20191119,Greenvision Acq Corp.,GRNVU,39678G202,0,0,1,0,6250000,19136,2019,,,,GreenVision Acquisition Corp.,11/21/2019,True
20191120,Amplitude Healthcare,AMHCU,03212A204,0,0,1,0,12500000,19180,2019,,,,Amplitude Healthcare Acquisition Corp.,11/22/2019,True
20191120,Software Acq Grp Inc,SAQNU,83406B200,0,0,1,0,16250000,19197,2019,,,,Software Acquisition Group Inc.,11/22/2019,True
20191122,CHP Merger Corp,CHPMU,12558Y205,0,0,1,0,34375000,19186,2019,,,,CHP Merger Corp.,11/26/2019,True
20191122,PropTech Acquisition Corp,PTACU,74349F200,0,0,1,0,18750000,19196,2019,,,,PropTech Acquisition Corp.,11/26/2019,True
20191211,LIV Capital Acquisition Corp,LIVKU,G5510C124,0,0,1,0,8820000,19194,2000,,,,LIV Capital Acquisition Corp.,12/13/2019,True
20191213,CIIG Merger Corp,CIICU,12559C202,0,0,1,0,28125000,19230,2019,,,,CIIG Merger Corp.,12/17/2019,True
20191213,Healthcare Merger Corp,HCCOU,42227L201,0,0,1,0,28140000,19189,2019,,,,Healthcare Merger Corp.,12/17/2019,True
20200211,CITIC Capital Acquisition Corp,CCAC.,G21513125,0,0,1,0,30000000,19347,2002,,,,CITIC Capital Acquisition Corp.,2/10/2020,True
20200211,Greenrose Acq Corp,GNRSU,395392202,0,0,1,0,19050000,19399,2019,,,,Greenrose Acquisition Corp.,2/13/2020,True
20200214,Churchill Capital Corp III,CCXX.,17144C203,0,0,1,0,125000000,.,2019,,,,Churchill Capital Corp. III,2/19/2020,True
20200221,Dmy Tech Grp Inc,DMYT,233253202,0,0,1,0,25000000,.,2019,,,,"dMY Technology Group, Inc.",2/20/2020,True
20200306,Flying Eagle Acq Corp,FEAC.,34407Y202,0,0,1,0,75000000,.,2020,,,,Flying Eagle Acquisition Corp.,3/5/2020,True
20200306,Lifesci Acq Corp,LSACU,53228P208,0,0,1,0,7500000,.,2018,,,,LifeSci Acquisition Corp.,3/10/2020,True
20200311,DFP Healthcare Acqs Corp,DFPHU,23343Q209,0,0,1,0,25000000,19397,2019,,,,DFP Healthcare Acquisitions Corp.,3/13/2020,True
20200430,Fortress Value Acquisition,FVAC,34962V205,0,0,1,0,37500000,.,1998,,,,Fortress Value Acquisition Corp.,5/4/2020,True
20200501,Collective Growth Corp,CGROU,19424L200,0,0,1,0,19012500,19469,2019,,,,Collective Growth Corp.,5/5/2020,True
20200505,Roth CH Acquisition I Co,ROCHU,778675207,0,0,1,0,9637500,19489,2019,,,,Roth CH Acquisition I Co.,5/7/2020,True
20200506,Live Oak Acquisition Corp,LOAK.,53804F202,0,0,1,0,25000000,.,2019,,,,Live Oak Acquisition Corp.,5/8/2020,True
20200514,Gigcapital3 Inc,GIK.U,37519D206,0,0,1,0,25893479,19521,2017,,,,"GigCapital3, Inc.",5/15/2020,True
20200515,Novus Capital Corp,NOVSU,67012U207,0,0,1,0,12650000,19480,2020,,,,Novus Capital Corp.,5/19/2020,True
20200519,B Riley Principal Merger II,BMRG,05600U205,0,0,1,0,22525000,.,2019,,,,B. Riley Principal Merger Corp. II,5/22/2020,True
20200521,Longview Acquisition Corp,LGVW,543195200,0,0,1,0,45000000,19533,2020,,,,Longview Acquisition Corp.,5/26/2020,True
20200527,Foley Trasimene Acquisition,WPF.U,34431F203,0,0,1,0,112500000,19519,2020,,,,Foley Trasimene Acquisition Corp.,5/29/2020,True
20200605,Mtn Crest Acq Corp,MCACU,62401M205,0,0,1,0,6571500,19644,2020,,,,Mountain Crest Acquisition Corp,6/9/2020,True
20200609,Hudson Executive Invest Corp,HECCU,443761200,0,0,1,0,45000000,19556,2020,,,,Hudson Executive Investment Corp.,6/11/2020,True
20200617,Trebia Acquisition Corp,TREB.,G9027T125,0,0,1,0,56250000,19616,2020,,,,Trebia Acquisition Corp.,6/19/2020,True
20200624,Brilliant Acq Corp,BRLIU,G1643W103,0,0,1,0,5340000,19549,2019,,,,Brilliant Acquisition Corp.,6/26/2020,True
20200626,Fusion Acquisition Corp,FUSE.,36118H204,0,0,1,0,38125000,19592,2020,,,,Fusion Acquisition Corp.,6/30/2020,True
20200626,Kensington Capital Acq Corp,KCAC.,490073202,0,0,1,0,25000000,.,2020,,,,Kensington Capital Acquisition Corp.,6/30/2020,True
20200701,Panacea Acquisition Corp,PANA,698102209,0,0,1,0,16075000,19606,2020,,,,Panacea Acquisition Corp.,7/1/2020,True
20200702,Capstar Special Purpose,CPSR.,14070Y200,0,0,1,0,30000000,19586,2020,,,,Capstar Special Purpose Acquisition Corp.,7/7/2020,True
20200713,PTK Acquisition Corp,PTK.U,69375F207,0,0,1,0,12500000,19787,2019,,,,PTK Acquisition Corp.,7/15/2020,True
20200714,Artius Acq Inc,AACQU,04316G204,0,0,1,0,78750000,19808,2020,,,,Artius Acquisition Inc.,7/16/2020,True
20200716,HPX Corp,HPX.U,G32219118,0,0,1,0,27500000,19805,2020,,,,HPX Corp.,7/15/2020,True
20200717,Deerfield Healthcare Tech,DFHTU,244413209,0,0,1,0,15625000,19824,2020,,,,Deerfield Healthcare Technology Acquisitions Corp.,7/21/2020,True
20200722,Pershing Sq Tontine Hldg Ltd,PSTH,71531R208,0,0,1,0,200000100,19789,2020,,,,"Pershing Square Tontine Holdings, Ltd.",7/24/2020,True
20200722,Property Solutions Acq Corp,PSACU,74348Q207,0,0,1,0,25735000,19649,2020,,,,Property Solutions Acquisition Corp.,7/24/2020,True
20200723,East Resources Acquisition Co,ERESU,274681204,0,0,1,0,37500000,19826,2020,,,,East Resources Acquisition Co.,7/27/2020,True
20200724,Greencity Acquisition Corp,GRCYU,G4086B115,0,0,1,0,5260000,19630,2018,,,,Greencity Acquisition Corp.,7/23/2020,True
20200730,Churchill Capital Corp IV,CCIV,171439201,0,0,1,0,225000000,19751,2020,,,,Churchill Capital Corp. IV,7/30/2020,True
20200731,CC Neuberger Principal Hldg,PRPB,G3166T129,0,0,1,0,95000000,19804,2020,,,,CC Neuberger Principal Holdings II,7/31/2020,True
20200731,E.Merge Tech Acq Corp,ETACU,26873Y203,0,0,1,0,66450000,19827,2020,,,,E.Merge Technology Acquisition Corp.,7/30/2020,True
20200731,Newhold Investment Corp,NHICU,651448201,0,0,1,0,18750000,19838,2020,,,,NewHold Investment Corp.,7/30/2020,True
20200804,Yucaipa Acquisition Corp,YAC.U,G9879L121,0,0,1,0,37500000,19806,2020,,,,Yucaipa Acquisition Corp.,8/6/2020,True
20200805,BowX Acquisition Corp,BOWXU,103085205,0,0,1,0,52500000,19950,2020,,,,BowX Acquisition Corp.,8/7/2020,True
20200805,Holicity Inc,HOLUU,435063201,0,0,1,0,34375000,19835,2020,,,,Holicity Inc.,8/7/2020,True
20200806,GO Acquisition Corp,GOAC,362019200,0,0,1,0,62500000,19767,2020,,,,GO Acquisition Corp.,8/4/2020,True
20200806,Gores Holdings V Inc,GRSVU,382864205,0,0,1,0,59375000,19834,2020,,,,Gores Holdings V Inc.,8/5/2020,True
20200807,Vistas Media Acq Co Inc,VMACU,92840T206,0,0,1,0,12830000,19652,2020,,,,Vistas Media Acquisition Company Inc.,8/7/2020,True
20200812,Fortress Value Acq Corp II,FAII.,349642207,0,0,1,0,37500000,19892,2020,,,,Fortress Value Acquisition Corp. II,8/11/2020,True
20200813,Redball Acquisition Corp,RBAC,G7417R121,0,0,1,0,62500000,19936,2020,,,,RedBall Acquisition Corp.,8/12/2020,True
20200814,Lionheart Acquisition Corp II,LCAPU,53625R203,0,0,1,0,25650000,19978,2019,,,,Lionheart Acquisition Corp. II,8/13/2020,True
20200814,dMY Technology Group II Inc,DMYD,233277201,0,0,1,0,30000000,19875,2020,,,,"dMY Technology Group, Inc. II",8/14/2020,True
20200818,Northern Genesis Acq Corp,NGA U,66516T203,0,0,1,0,37500000,19911,2020,,,,Northern Genesis Acquisition Corp.,8/17/2020,True
20200818,Star Peak Energy Transition,STPK,855185203,0,0,1,0,43750000,19919,2018,,,,Star Peak Energy Transition Corp.,8/17/2020,True
20200819,Foley Trasimene Acq Corp II,BFT.U,344328208,0,0,1,0,162500000,19891,2020,,,,Foley Trasimene Acquisition Corp. II,8/18/2020,True
20200819,Forum Merger III Corp,FIIIU,349885202,0,0,1,0,31991250,19830,2019,,,,Forum Merger III Corp.,8/18/2020,True
20200821,FAST Acquisition Corp,FST.U,311875207,0,0,1,0,25000000,19886,2020,,,,FAST Acquisition Corp.,8/20/2020,True
20200827,Burgundy Tech Acq Corp,BTAQU,G1702T132,0,0,1,0,38450000,19951,2020,,,,Burgundy Technology Acquisition Corp.,8/26/2020,True
20200827,CF Finance Acquisition Corp II,CFIIU,15725Q203,0,0,1,0,63600000,19955,2019,,,,CF Finance Acquisition Corp. II,8/27/2020,True
20200902,CM Life Sciences Inc,CMLFU,18978W208,0,0,1,0,48125000,19956,2020,,,,"CM Life Sciences, Inc.",9/1/2020,True
20200903,INSU Acquisition Corp II,INAQU,457821304,0,0,1,0,27386667,19970,2018,,,,INSU Acquisition Corp. II,9/2/2020,True
20200904,HighCape Capital Acq Corp,CAPAU,42984L204,0,0,1,0,12875000,19952,2020,,,,HighCape Capital Acquisition Corp.,9/3/2020,True
20200904,Tailwind Acquisition Corp,TWND,87403Q201,0,0,1,0,37500000,19920,2020,,,,Tailwind Acquisition Corp.,9/3/2020,True
20200909,Cohn Robbins Holdings Corp,CRHC,G23726121,0,0,1,0,90000000,19929,2020,,,,Cohn Robbins Holdings Corp.,9/8/2020,True
20200909,Industrial Tech Acquisitions,ITACU,456357201,0,0,1,0,9525000,19972,2020,,,,"Industrial Tech Acquisitions, Inc.",9/8/2020,True
20200910,NavSight Holdings Inc,NSH U,639358209,0,0,1,0,25000000,20094,2020,,,,"NavSight Holdings, Inc.",9/9/2020,True
20200910,Prime Impact Acquisition I,PIAI,G61074111,0,0,1,0,37500000,20121,2020,,,,Prime Impact Acquisition I,9/10/2020,True
20200910,Starboard Value Acq Corp,SVACU,85521J208,0,0,1,0,45000000,20172,2019,,,,Starboard Value Acquisition Corp.,9/10/2020,True
20200911,Broadstone Acquisition,BSN.U,G1739V118,0,0,1,0,37500000,20119,2020,,,,Broadstone Acquisition Corp.,9/11/2020,True
20200911,"Ribbit LEAP, Ltd",LEAP,G7552B121,0,0,1,0,50900000,20127,2020,,,,"Ribbit LEAP, Inc.",9/11/2020,True
20200911,TWC Tech Holdings II Corp,TWCTU,90117G204,0,0,1,0,65625000,20177,2020,,,,TWC Tech Holdings II Corp.,9/10/2020,True
20200915,Sandbridge Acquisition Corp,SBG U,799793203,0,0,1,0,25000000,20101,2020,,,,Sandbridge Acquisition Corp.,9/15/2020,True
20200916,Equity Distribution Acq Corp,EQD U,29465E205,0,0,1,0,45000000,20078,2020,,,,Equity Distribution Acquisition Corp.,9/16/2020,True
20200916,Executive Network Partnering,ENPC,30158L209,0,0,1,0,14624000,20081,2020,,,,Executive Network Partnering Corp.,9/16/2020,True
20200917,ACON S2 Acquisition Corp,STWOU,G00748122,0,0,1,0,31250000,20171,2020,,,,ACON S2 Acquisition Corp.,9/17/2020,True
20200917,Oaktree Acquisition Corp II,OACB,G6715X129,0,0,1,0,28125000,20122,2020,,,,Oaktree Acquisition Corp. II,9/16/2020,True
20200918,Alpha Healthcare Acq Corp,AHACU,020751202,0,0,1,0,12855000,20137,2020,,,,Alpha Healthcare Acquisition Corp.,9/17/2020,True
20200918,North Mountain Merger Corp,NMMCU,661204206,0,0,1,0,14375000,20158,2020,,,,North Mountain Merger Corp.,9/18/2020,True
20200922,Falcon Capital Acq Corp,FCACU,30606L207,0,0,1,0,37500000,20145,2020,,,,Falcon Capital Acquisition Corp.,9/21/2020,True
20200922,PMV Consumer Acquisition Corp,PMVC,693486201,0,0,1,0,21875000,20098,2020,,,,PMV Consumer Acquisition Corp.,9/21/2020,True
20200925,Fintech Acquisition Corp IV,FTIVU,31810N302,0,0,1,0,-9,20146,2018,,,,FinTech Acquisition Corp. IV,9/24/2020,True
20200930,Climate Change Crisis Real,CLII,18716C209,0,0,1,0,-9,20072,2020,,,,Climate Change Crisis Real Impact I Acquisition Corp,9/29/2020,True
20200930,FG New America Acq Corp,FGNA.,30259V205,0,0,1,0,28700000,20082,2020,,,,FG New America Acquisition Corp.,9/29/2020,True
20200930,Vesper Healthcare Acq Corp,VSPRU,92538T203,0,0,1,0,-9,20181,2020,,,,Vesper Healthcare Acquisition Corp,9/29/2020,True
20201001,AEA-Bridges Impact Corp,IMPX.,G01046120,0,0,1,0,50000000,20113,2020,,,,AEA-Bridges Impact Corp.,10/1/2020,True
20201001,Ig Acquisition Corp,IGACU,449534205,0,0,1,0,37500000,20148,2020,,,,IG Acquisition Corp,9/30/2020,True
20201001,Recharge Acquisition Corp,RCHGU,756229209,0,0,1,0,-9,20166,2020,,,,Recharge Acquisition Corporation,9/30/2020,True
20201002,Apollo Strategic Growth,APSG,G0411R122,0,0,1,0,-9,20114,1990,,,,Apollo Strategic Growth Capital,10/1/2020,True
20201002,Atlantic Avenue Acquisition,ASAQ.,04906P200,0,0,1,0,31250000,19867,2020,,,,Atlantic Avenue Acquisition Corp.,10/1/2020,True
20201002,Avanti Acq Corp,AVAN,G0682V117,0,0,1,0,60000000,20118,2020,,,,Avanti Acquisition Corp.,10/1/2020,True
20201002,Sports Ent Acq Corp,SEAH.,84918M205,0,0,1,0,50000000,20106,2020,,,,Sports Entertainment Acquisition Corp.,10/2/2020,True
20201002,Vy Global Growth,VYGG,G9444H126,0,0,1,0,62500000,20131,2020,,,,Vy Global Growth,10/2/2020,True
20201006,Firstmark Horizon Acq Corp,FMAC.,33765Y200,0,0,1,0,45000000,20083,2020,,,,FirstMark Horizon Acquisition Corp.,10/5/2020,True
20201007,Empower Ltd,EMPW,G3R39W128,0,0,1,0,31250000,20120,2020,,,,Empower Ltd.,10/7/2020,True
20201007,Montes Archimedes Acquisition,MAACU,612657205,0,0,1,0,50000000,20304,2020,,,,Montes Archimedes Acquisition Corp.,10/7/2020,True
20201007,NextGen Acquisition Corp,NGACU,G65305115,0,0,1,0,43750000,20310,2020,,,,NextGen Acquisition Corp.,10/6/2020,True
20201008,Petra Acquisition Inc,PAICU,716421201,0,0,1,0,8750000,20163,2019,,,,Petra Acquisition Inc.,10/8/2020,True
20201009,Landcadia Holdings III Inc,LCYAU,51476H209,0,0,1,0,62500000,20153,2018,,,,"Landcadia Holdings III, Inc.",10/8/2020,True
20201015,Motion Acquisition Corp,MOTNU,61980M206,0,0,1,0,14375000,20307,2020,,,,Motion Acquisition Corp.,10/15/2020,True
20201015,Spartacus Acq Corp,TMTSU,84677L208,0,0,1,0,25000000,20174,2020,,,,Spartacus Acquisition Corp.,10/15/2020,True
20201016,Bridgetown Holdings Ltd,BTWNU,G1355U105,0,0,1,0,68750000,20283,2020,,,,Bridgetown Holdings Ltd.,10/16/2020,True
20201016,Turmeric Acquisition Corp,TMPMU,G9127T116,0,0,1,0,11015000,20329,2020,,,,Turmeric Acquisition Corp.,10/15/2020,True
20201020,Decarbonization Plus Acq Corp,DCRBU,242797207,0,0,1,0,25000000,20290,2017,,,,Decarbonization Plus Acquisition Corp.,10/19/2020,True
20201020,Good Works Acquisition Corp,GWACU,38216X206,0,0,1,0,18978000,20295,2002,,,,Good Works Acquisition Corp.,10/20/2020,True
20201020,Horizon Acquisition Corp II,HZON.,G46044122,0,0,1,0,62500000,20275,2020,,,,Horizon Acquisition Corp. II,10/19/2020,True
20201021,DPCM Capital Inc,XPOA.,23344P200,0,0,1,0,37500000,20209,2020,,,,"DPCM Capital, Inc.",10/21/2020,True
20201021,HIG Acquisition Corp,HIGA.,G44898115,0,0,1,0,40625000,20274,2020,,,,H.I.G. Acquisition Corp,10/20/2020,True
20201021,Lefteris Acquisition Corp,LFTRU,52470X208,0,0,1,0,25000000,20302,2020,,,,Lefteris Acquisition Corp.,10/20/2020,True
20201021,Supernova Partners Acq Co Inc,SPNV.,86846V207,0,0,1,0,43750000,20253,2020,,,,"Supernova Partners Acquisition Co., Inc.",10/20/2020,True
20201022,Rice Acquisition Corp,RICE,762594208,0,0,1,0,21502500,20246,2020,,,,Rice Acquisition Corp.,10/21/2020,True
20201022,Tekkorp Digital Acquisition,TEKKU,G8739H122,0,0,1,0,31250000,20326,2020,,,,Tekkorp Digital Acquisition Corp.,10/21/2020,True
20201022,Yellowstone Acquisition Co,YSACU,98566K204,0,0,1,0,15625000,20338,2020,,,,Yellowstone Acquisition Corp.,10/21/2020,True
