,Unnamed: 0,conm,tic,CUSIP,Date of IPO,IS_SPAC,matched_name
2198,1368,"REPROTECH, INC.",RPRO,76026610,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2199,1369,MMI MEDICAL INC.,MMIM,55308810,,False,"('NMT MEDICAL INC', 87)"
2200,1370,HOOPER HOLMES INC.,HOOP,43910410,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2201,1371,UNIV. MEDICAL BLDGS.,UMBI,91373110,,False,"('RR MEDIA LTD', 68)"
2202,1372,EDUDATA CORP.,EDTA,28164210,,False,"('PROVIDIAN FINANCIAL CORP', 86)"
2203,1373,CARRIAGE INDUSTRIES,CARG,14444810,,False,"('CARRIAGE SERVICES INC', 76)"
2204,1374,PAWLING SAVINGS BANK,PSBK,704053102,,False,"('OPUS BANK', 86)"
2205,1375,SCIENTIFIC MICRO SYS,SMSI,80876810,,False,"('SYS', 90)"
2206,1376,NORTHERN DATA SYS,NDSI,66510310,,False,"('SYS', 90)"
2207,1377,ALTRON INC.,ALRN,2209210,,False,"('SHUTTERSTOCK INC', 86)"
2208,1378,JEM RECORDS,JEMR,47585410,,False,"('EMCORE CORP', 64)"
2209,1379,CYBERTEK COMPUTER,CKCP,23251810,,False,"('AFFILIATED COMPUTER SERVICES', 86)"
2210,1380,WILAND SERVICES INC.,WSVS,96774410,,False,"('QUALYS INC', 86)"
2211,1381,ANGIOMEDICS INC.,AGMD,3475710,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2212,1382,CHIEF AUTOMOTIVE,CHFS,16862410,,False,"('MAJOR AUTOMOTIVE COMPANIES', 86)"
2213,1383,FUR VAULT INC.,FRV,36105510,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2214,1384,MASS. COMPUTER CORP.,MSCP,57563210,,False,"('GENZYME CORP', 86)"
2215,1385,OPTROTECH LTD.,OPTKF,M7525310,,False,"('METHES ENERGIES INTL LTD', 86)"
2216,1386,MTV MUSIC NETWORK,MTVN,55378110,,False,"('BLACKHAWK NETWORK HLDGS INC', 86)"
2217,1387,BARRIER SCIENCES,,6850620,,False,"('ALPINE IMMUNE SCIENCES INC', 86)"
2218,1388,LASER CORP.,LSER,51805610,,False,"('PROVIDIAN FINANCIAL CORP', 86)"
2219,1389,ENTEX ENERGY DEVELOP LTD,EED,29381310,,False,"('VOLITIONRX LTD', 86)"
2220,1390,NATIONAL PIZZA CO.,PIZA,63715510,,False,"('HOUGHTON MIFFLIN HARCOURT CO', 86)"
2221,1391,MEDICAL IMAGING CENTERS,MIKA,58457820,,False,"('NMT MEDICAL INC', 86)"
2222,1392,AMERICAN HEALTHCARE,AHI,2649610,,False,"('HEALTHCARE TR OF AMERICA INC', 77)"
2223,1393,PERPETUAL AMER. BANK,PASB,71427510,,False,"('OPUS BANK', 86)"
2224,1394,HAGANAH LTD.,,40503120,,False,"('METHES ENERGIES INTL LTD', 86)"
2225,1395,DURAKON INDUSTRIES,DRKN,26633410,,False,"('COMMONWEALTH INDUSTRIES INC', 86)"
2226,1396,"UNITED TOTE, INC.",TOTE,91307710,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2227,1397,VISTA FILMS CORP.,,92835420,,False,"('PROVIDIAN FINANCIAL CORP', 86)"
2228,1398,JOHN O. BUTLER CO.,BUTC,12340010,,False,"('HOUGHTON MIFFLIN HARCOURT CO', 86)"
2229,1399,LEARNING ANNEX INC.,ANNX,52200510,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2230,1400,NERCO INC.,NER,64080810,,False,"('NESCO INC', 89)"
2231,1401,LESCO INC.,LSCO,52687210,,False,"('NESCO INC', 89)"
