SPAC IPO ,Date of IPO,CUSIP,MergeKey,ClosestMatch
ALSP Orchid Acquisition Corp. I,11/18/2021,G0231L115,ALSP Orchid Acquisition Corp I,"('ALSP Orchid Acquisition Corp I', 98, 15030)"
bleuacacia Ltd.,11/17/2021,G11728121,bleuacacia ltd,"('bleuacacia ltd', 100, 15029)"
Seaport Global Acquisition II Corp.,11/17/2021,81221H204,Seaport Global Acquisition,"('Seaport Global Acquisition', 95, 14005)"
Arisz Acquisition Corp.,11/17/2021,40450207,Arisz Acquisition Corp.,"('Arisz Acquisition Corp.', 100, 15027)"
Nabors Energy Transition Corp.,11/16/2021,629567207,Nabors Energy Transition Corp.,"('Nabors Energy Transition Corp.', 100, 15022)"
ShoulderUp Technology Acquisition Corp.,11/16/2021,82537G203,ShoulderUP Technology Acquisit,"('ShoulderUP Technology Acquisit', 88, 15024)"
LF Capital Acquisition Corp. II,11/16/2021,50202D201,LF Capital Acquisition Corp II,"('LF Capital Acquisition Corp II', 98, 15021)"
Energem Corp.,11/15/2021,G30449113,Energem Corp,"('Energem Corp', 100, 15018)"
Integrated Rail & Resources Acquisition Corp.,11/11/2021,45827R205,Integrated Rail & Resources Ac,"('Integrated Rail & Resources Ac', 89, 15015)"
Mountain Crest Acquisition Corp. V,11/11/2021,62404B206,Mountain Crest Acquisition Cor,"('Mountain Crest Acquisition Cor', 94, 14646)"
LAMF Global Ventures Corp. I,11/10/2021,G5338L116,LAMF Global Ventures Corp I,"('LAMF Global Ventures Corp I', 98, 15007)"
VMG Consumer Acquisition Corp.,11/10/2021,91842V201,VMG Consumer Acquisition Corp,"('VMG Consumer Acquisition Corp', 100, 15010)"
Chain Bridge I,11/9/2021,G2061X128,Chain Bridge I,"('Chain Bridge I', 100, 15000)"
Arena Fortify Acquisition Corp.,11/9/2021,04005A203,Arena Fortify Acquisition Corp,"('Arena Fortify Acquisition Corp', 100, 14995)"
Ascendant Digital Acquisition Corp. III,11/9/2021,G05157121,Ascendant Digital Acquisition,"('Ascendant Digital Acquisition', 95, 14996)"
Blockchain Coinvestors Acquisition Corp. I,11/9/2021,G11765123,,
RCF Acquisition Corp.,11/9/2021,G7330C128,RCF Acquisition Corp,"('RCF Acquisition Corp', 100, 15002)"
Hunt Companies Acquisition Corp. I,11/8/2021,G46482116,Hunt Companies Acquisition Cor,"('Hunt Companies Acquisition Cor', 94, 14990)"
Apeiron Capital Investment Corp.,11/8/2021,03752A200,Apeiron Capital Investment Cor,"('Apeiron Capital Investment Cor', 98, 14987)"
OmniLit Acquisition Corp.,11/8/2021,68218C207,OmniLit Acquisition Corp.,"('OmniLit Acquisition Corp.', 100, 14991)"
Green Visor Financial Technology Acquisition Corp. I,11/8/2021,G4166K118,Green Visor Financial Technolo,"('Green Visor Financial Technolo', 90, 14989)"
DP Cap Acquisition Corp. I,11/8/2021,G2R05B118,DP Cap Acquisition Corp I,"('DP Cap Acquisition Corp I', 98, 14988)"
New Providence Acquisition Corp. II,11/4/2021,64823D201,New Providence Acquisition,"('New Providence Acquisition', 95, 13539)"
Mountain & Co. I Acquisition Corp.,11/4/2021,G6301J120,Mountain & Co. I Acquisition C,"('Mountain & Co. I Acquisition C', 95, 14983)"
