,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,formatted offer date
14243,2021-02-09,Crown PropTech Acquisitions,CPTK.,G25741128,0,0,1,0,30000000,20742,2020,,,,02/09/2021
14244,2021-02-09,ECP Envi Growth Opportunities,ENNVU,26829T209,0,0,1,0,37500000,21042,2020,,,,02/09/2021
14245,2021-02-09,Evo Acq Corp,EVOJU,30052G207,0,0,1,0,13745000,21043,2020,,,,02/09/2021
14246,2021-02-09,GigCapital4 Inc,GIGGU,37518G200,0,0,1,0,40006000,.,2020,,,,02/09/2021
14247,2021-02-09,Global Internet Of People Inc,SDH,G3932F106,0,0,0,0,.,20628,2014,,,,02/09/2021
14248,2021-02-09,Pivotal Investment Corp III,PICC.,72582M205,0,0,1,0,30000000,20960,2020,,,,02/09/2021
14249,2021-02-09,Priveterra Acquisition Corp,PMGMU,74275N201,0,0,1,0,30000000,21086,2020,,,,02/09/2021
14250,2021-02-09,Progress Acquisition Corp,PGRWU,74327P204,0,0,1,0,18900000,20859,2020,,,,02/09/2021
14251,2021-02-09,Spartan Acquisition Corp III,SPAQ.,84677R205,0,0,1,0,60000000,20966,2020,,,,02/09/2021
14252,2021-02-09,Venus Acquisition Corp,VENAU,G9420F136,0,0,1,0,5290000,21114,2018,,,,02/09/2021
14253,2021-02-10,Apollo Strategic Growth II,APGB.,G0412A110,0,0,1,0,75000000,20981,2008,,,,02/10/2021
14254,2021-02-10,Foresight Acquisition Corp,FOREU,34552Y205,0,0,1,0,35125000,.,2020,,,,02/10/2021
14255,2021-02-10,Lazard Growth Acq Corp I,LGACU,G54035129,0,0,1,0,62500000,21073,2020,,,,02/10/2021
14256,2021-02-10,Power & Digital,XPDIU,739190205,0,0,1,0,37500000,21117,2020,,,,02/10/2021
14257,2021-02-10,ScION Tech Growth II,SCOBU,G31070124,0,0,1,0,37500000,21095,2020,,,,02/10/2021
14258,2021-02-10,Vallon Pharms Inc,VLON,92023M101,0,0,0,0,.,20640,2018,,,,02/10/2021
14259,2021-02-10,Viant Technology Inc,DSP,92557A101,0,0,1,0,58935559,20469,1999,,,,02/10/2021
14260,2021-02-11,Apria Inc,APR,03836A101,1,0,0,0,.,20568,1995,,,,02/11/2021
14261,2021-02-11,Bioventus Inc,BVS,09075A108,0,0,1,0,71677178,20581,2012,,,,02/11/2021
14262,2021-02-11,Bumble Inc,BMBL,12047B105,0,0,1,0,184613467,20471,2014,,,,02/11/2021
14263,2021-02-11,Goal Acquisitions Corp,PUCKU,38021H206,0,0,1,0,28875000,20864,2020,,,,02/11/2021
14264,2021-02-11,Ion Acq Corp 2 Ltd,IACB.,G49393120,0,0,1,0,27500000,.,2020,,,,02/11/2021
14265,2021-02-11,Signify Health Inc,SGFY,82671G100,0,0,1,1,221626863,20470,2009,,,,02/11/2021
14266,2021-02-11,loanDepot Inc,LDI,53946R106,0,2,1,1,312000000,20545,2010,,,,02/11/2021
14267,2021-02-12,Bite Acquisition Corp,BITE.,09175K204,0,0,1,0,22465000,20908,2020,,,,02/12/2021
14268,2021-02-12,Broadscale Acquisition Corp,SCLEU,11134Y200,0,0,1,0,37500000,21094,2020,,,,02/12/2021
14269,2021-02-12,Catcha Invest Corp,CHAA.,G1962Y128,0,0,1,0,34687500,20987,2020,,,,02/12/2021
