,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,SPAC IPO ,Date of IPO,IS_SPAC
12656,20151001,Mirna Therapeutics Inc,MIRN,60470J103,0,1,0,0,.,15787,2007,,,,,,False
12657,20151001,Performance Food Group Co,PFGC,71377A103,0,0,0,0,.,15724,1885,,,,,,False
12658,20151001,Surgery Partners Inc,SGRY,86881A100,1,2,0,0,.,15795,2004,,,,,,False
12659,20151002,Novocure Ltd,NVCR,G6674U10,0,1,0,0,.,15789,2000,,,,,,False
12660,20151007,Aclaris Therapeutics Inc,ACRS,00461U105,0,1,0,0,.,15775,2012,,,,,,False
12661,20151007,Pure Storage Inc,PSTG,74624M102,0,1,1,0,185056764,15729,2009,,,,,,False
12662,20151008,Allegiance Bancshares Inc,ABTX,01748H107,0,0,0,0,.,15774,2007,,,,,,False
12663,20151008,CytomX Therapeutics Inc,CTMX,23284F105,0,1,0,0,.,15779,2008,,,,,,False
12664,20151009,CPI Card Group Inc,PMTS,12634H101,.,0,0,0,.,15793,1982,,,,,,False
12665,20151014,Capitol Acquisition Corp III,CLACU,14055M205,0,0,1,0,40062500,15899,2015,,,,,,False
12666,20151015,Cerecor Inc,CERC,15671L109,0,1,0,0,.,15833,2011,,,,,,False
12667,20151015,First Data Corp,FDC,32008D106,0,0,1,0,879030067,15703,1989,,,,,,False
12668,20151015,Pacific Special Acq Corp,PAACU,G6858810,0,0,1,0,6727500,15791,2015,,,,,,False
12669,20151020,American Farmland Co,AFCO,02589Y100,0,0,0,0,.,15711,2009,,,,,,False
12670,20151021,Ferrari NV,RACE,N3167J10,0,0,0,0,.,15735,1939,,,,,,False
12671,20151022,Dimension Therapeutics Inc,DMTX,25433V105,0,1,0,0,.,15780,2013,,,,,,False
12672,20151022,Multi Packaging Solutions,MPSX,G6331W10,1,0,0,0,.,15734,2005,,,,,,False
12673,20151027,Adesto Technologies Corp,IOTS,00687D101,0,1,0,0,.,15786,2006,,,,,,False
12674,20151029,MyoKardia Inc,MYOK,62857M105,0,1,0,0,.,15788,2012,,,,,,False
12675,20151104,Fuling Global Inc,FORK,G3729B102,.,0,0,0,.,15841,1995,,,,,,False
12676,20151111,Advanced Accelerator,AAAP,00790T100,0,1,0,0,.,15829,2002,,,,,,False
12677,20151111,Equity Bancshares Inc,EQBK,29460X109,0,0,1,0,7285805,15838,2003,,,,,,False
12678,20151111,Voyager Therapeutics Inc,VYGR,92915B106,0,1,0,0,.,15856,2013,,,,,,False
12679,20151111,WaVe Life Sciences Ltd,WVE,Y9530810,0,1,0,0,.,15857,2012,,,,,,False
12680,20151112,Nuveen High Income Dec 2018,JHA,67075P10,0,0,0,0,.,15825,2015,,,,,,False
12681,20151113,Instructure Inc,INST,45781U103,0,1,0,1,.,15824,2008,,,,,,False
12682,20151113,Xtera Communications Inc,XCOM,98415E300,0,1,0,0,.,15858,1998,,,,,,False
12683,20151119,Axsome Therapeutics Inc,AXSM,05464T104,0,0,0,0,.,15831,2012,,,,,,False
12684,20151119,Match Group Inc,MTCH,57665R106,0,0,1,1,243252735,15850,2010,,,,,,False
12685,20151119,Mimecast Ltd,MIME,G1483810,0,1,0,1,.,15849,2003,,,,,,False
12686,20151119,Square Inc,SQ,852234103,0,1,1,1,327944711,15826,2009,,,,,,False
12687,20151120,Duluth Holdings Inc,DLTH,26443V101,0,0,1,0,28928411,15837,1986,,,,,,False
12688,20151124,Andina Acquisition Corp II,ANDA,G0441P104,0,0,1,0,5150000,15897,2015,,,,,,False
12689,20151209,Atlassian Corp PLC,TEAM,G06242104,0,1,1,0,208675129,15909,2002,,,,,,False
12690,20151218,Yirendai Ltd,YRD,98585L100,0,0,0,1,.,15896,2012,,,,,,False
12691,20160203,BeiGene Ltd,BGNE,07725L102,0,0,1,0,116087428,15936,2010,,,,,,False
12692,20160203,Editas Medicine Inc,EDIT,28106W103,0,1,0,0,.,15937,2013,,,,,,False
12693,20160211,AveXis Inc,AVXS,05366U100,0,1,0,0,.,15934,2013,,,,,,False
12694,20160211,Proteostasis Therapeutics Inc,PTI,74373B109,0,1,0,0,.,15950,2006,,,,,,False
12697,20160303,Syndax Pharmaceuticals Inc,SNDX,87164F105,0,1,0,0,.,15976,2005,,,,,,False
12698,20160311,KLR Energy Acquisition Corp,KLREU,49877M207,0,0,1,0,10485320,15970,2015,,,,,,False
12699,20160323,Corvus Pharmaceuticals Inc,CRVS,221015100,0,1,0,0,.,15960,2014,,,,,,False
12700,20160406,Aeglea BioTherapeutics Inc,AGLE,00773J103,0,1,0,0,.,16005,2013,,,,,,False
12701,20160415,BATS Global Markets Inc,BATS,05491G109,0,0,0,1,.,17402,2005,,,,,,False
12702,20160420,MGM Growth Properties LLC,MGP,55303A105,0,0,1,0,50000000,16042,-99,,,,,,False
12703,20160421,Amer Renal Assoc Hldg Inc,ARA,029227105,1,2,0,0,.,16024,1999,,,,,,False
12704,20160422,SecureWorks Corp,SCWX,81374A105,0,0,1,1,80671149,16020,1999,,,,,,False
12705,20160427,Red Rock Resorts Inc,RRR,75700L108,0,0,1,0,115854794,16019,1976,,,,,,False
12706,20160427,Yintech Invest Hldg Ltd,YIN,98585M108,0,0,1,1,1164814815,16022,2011,,,,,,False
12707,20160428,PAVmed Inc,PAVMU,70387R106,0,1,1,0,13450000,16181,2014,,,,,,False
12708,20160506,Intellia Therapeutics Inc,NTLA,45826J105,0,1,0,0,.,16064,2014,,,,,,False
12709,20160506,Spring Bank Pharms Inc,SBPH,849431101,0,1,0,0,.,16069,2002,,,,,,False
12710,20160510,Nuveen High Income Dec 2019,JHD,67076E107,0,0,0,0,.,16081,-99,,,,,,False
12711,20160511,Turning Point Brands Inc,TPB,90041L105,0,0,0,0,.,16083,1940,,,,,,False
12712,20160512,SiteOne Landscape Supply Inc,SITE,82982L103,0,0,0,0,.,16082,2001,,,,,,False
12713,20160513,Acacia Communications Inc,ACIA,00401C108,0,1,0,1,.,16051,2009,,,,,,False
12714,20160513,Oncobiologics Inc,ONSIU,68235M204,0,0,1,0,22802778,16104,2011,,,,,,False
12715,20160518,PhaseRx Inc,PZRX,71723F103,0,1,0,0,.,16067,2006,,,,,,False
12716,20160518,Pulse Biosciences Inc,PLSE,74587B101,0,0,0,0,.,16066,2014,,,,,,False
12717,20160519,Grupo Supervielle SA,SUPV,40054A108,0,0,1,0,147083372,16077,1992,,,,,,False
12718,20160519,Merus BV,MRUS,N5749R100,0,1,0,0,.,16062,2003,,,,,,False
12719,20160520,CF Corp,CFCOU,G20307123,0,0,1,0,75000000,16163,2016,,,,,,False
12720,20160524,Midland States Bancorp Inc,MSBI,597742105,0,0,0,0,.,16063,1988,,,,,,False
12721,20160526,Cotiviti Holdings Inc,COTV,22164K101,0,0,0,0,.,16073,2001,,,,,,False
12722,20160526,Eaton Vance High Income 2021,EHT,27829W101,0,0,0,0,.,16074,2016,,,,,,False
12723,20160526,GMS Inc,GMS,36251C103,0,0,0,0,.,16076,1971,,,,,,False
12725,20160526,Reata Pharmaceuticals Inc,RETA,75615P103,0,1,1,0,21498106,16068,2002,,,,,,False
12726,20160526,US Foods Holding Corp,USFD,912008109,0,0,0,0,.,16084,1900,,,,,,False
12727,20160602,Clearside Biomedical Inc,CLSD,185063104,0,1,0,0,.,16090,2011,,,,,,False
12728,20160602,Moleculin Biotech Inc,MBRX,60855D101,0,0,0,0,.,16099,2015,,,,,,False
12729,20160602,NantHealth Inc,NH,630104107,0,0,0,1,.,16100,2010,,,,,,False
12730,20160603,Sensus Healthcare Inc,SRTS,81728J208,0,0,0,0,.,16145,2010,,,,,,False
12731,20160610,Atkore International Group Inc,ATKR,047649108,0,0,0,0,.,16119,1959,,,,,,False
12732,20160610,China Online Education Group,COE,16954L105,0,1,1,0,294985644,16120,2011,,,,,,False
12733,20160622,Selecta Biosciences Inc,SELB,816212104,0,1,0,0,.,16108,2007,,,,,,False
12734,20160623,Twilio Inc,TWLO,90138F102,0,1,1,0,82200793,16140,2008,,,,,,False
12735,20160630,Syros Pharmaceuticals Inc,SYRS,87184Q107,0,1,0,0,.,16111,2011,,,,,,False
12737,20160715,AdvancePierre Foods Hldg Inc,APFH,00782L107,.,0,0,0,.,16149,1946,,,,,,False
12738,20160720,Audentes Therapeutics Inc,BOLD,05070R104,0,1,0,0,.,16162,2012,,,,,,False
12739,20160721,Impinj Inc,PI,453204109,0,1,0,0,.,16182,2000,,,,,,False
12740,20160721,Patheon N.V.,PTHN,70319W108,0,0,0,0,.,16159,1974,,,,,,False
12741,20160722,TPI Composites Inc,TPIC,87266J104,0,2,0,0,.,16188,1968,,,,,,False
12742,20160727,Kadmon Holdings LLC,KDMN,48283N106,0,1,0,0,.,16154,2010,,,,,,False
12743,20160728,Kinsale Capital Group Inc,KNSL,49714P108,0,2,0,0,.,16171,2009,,,,,,False
12744,20160728,Tactile  Systems Technology,TCMD,87357P100,0,1,0,0,.,16186,1995,,,,,,False
12745,20160729,Talend SA,TLND,874224108,0,1,1,0,27641207,16187,1990,,,,,,False
12746,20160804,At Home Group Inc,HOME,04650Y100,0,0,0,0,.,16268,1979,,,,,,False
12747,20160804,First Hawaiian,FHB,32051X108,0,0,0,0,.,16253,1900,,,,,,False
12748,20160805,Atomera Inc,ATMR,04965B100,0,0,0,0,.,16250,2001,,,,,,False
12749,20160805,Gemphire Therapeutics Inc,GEMP,36870A108,0,0,0,0,.,16255,2014,,,,,,False
12750,20160811,Medpace Inc,MEDP,58506Q109,0,0,0,0,.,16260,1992,,,,,,False
12751,20160811,Protagonist Therapeutics Inc,PTGX,74366E102,0,1,0,0,.,16263,2006,,,,,,False
12752,20160812,Airgain Inc,AIRG,00938A104,0,1,0,0,.,16247,1995,,,,,,False
12753,20160819,Stellar Acquisition III Inc,STLRU,Y8172W10,0,0,1,0,8490000,16400,-99,,,,,,False
12754,20160913,M I Acquisitions Inc,MACQU,55304A203,0,0,1,0,6652500,16465,2015,,,,,,False
12755,20160915,Noble Midstream Partners LP,NBLX,65506L105,0,0,1,0,15902584,16333,2014,,,,,,False
12756,20160916,Everbridge Inc,EVBG,29978A104,0,1,0,0,.,16287,2002,,,,,,False
12757,20160916,FB Financial Corp,FBK,30257X104,0,0,0,0,.,16319,1984,,,,,,False
12759,20160921,Novan Inc,NOVN,66988N106,0,1,0,0,.,16303,2006,,,,,,False
12760,20160921,Trade Desk Inc,TTD,88339J105,0,1,1,1,38228554,16309,2009,,,,,,False
12761,20160922,Capstar Financial Holdings Inc,CSTR,14070T102,0,0,0,0,.,16285,2007,,,,,,False
12762,20160922,e l f Beauty Inc,ELF,26856L103,0,2,0,0,.,16318,2004,,,,,,False
12763,20160923,AC Immune SA,ACIU,H00263105,0,0,0,0,.,16281,2003,,,,,,False
12764,20160923,Apptio Inc,APTI,03835C108,0,1,1,0,37285839,16282,2007,,,,,,False
12765,20160923,Gridsum Holding Inc,GSUM,398132100,0,0,1,0,6521740,16298,2005,,,,,,False
12766,20160923,Valvoline Inc,VVV,92047W101,0,0,0,0,.,16338,1866,,,,,,False
12767,20160929,Fulgent Genetics Inc,FLGT,359664109,0,0,0,0,.,16290,2011,,,,,,False
12768,20160929,MedEquities Realty Trust Inc,MRT,58409L306,0,0,0,0,.,16332,2014,,,,,,False
12769,20160929,Tabula Rasa HealthCare Inc,TRHC,873379101,0,1,0,1,.,16308,2009,,,,,,False
12770,20160930,Nutanix Inc,NTNX,67059N108,0,1,1,0,139503662,16304,2009,,,,,,False
12771,20161006,Advanced Disposal Services Inc,ADSW,00790X101,1,2,0,0,.,16435,2000,,,,,,False
12772,20161006,AquaVenture Holdings LLC,WAAS,G0443N107,0,2,0,0,.,16450,2006,,,,,,False
12773,20161006,Coupa Software Inc,COUP,22266L106,0,1,0,0,.,16382,2006,,,,,,False
